shot_id,shot_made_flag
1,0.367325
8,0.381754
17,0.650398
20,0.758773
33,0.323051
34,0.43951
35,0.469411
36,0.440126
37,0.770283
38,0.339203
45,0.357341
50,0.303687
55,0.328046
60,0.280022
66,0.289142
67,0.291699
71,0.429581
80,0.258397
85,0.309423
86,0.563061
95,0.611611
104,0.382078
113,0.376673
123,0.305724
126,0.868642
133,0.695773
141,0.252609
144,0.467995
150,0.751579
152,0.394961
153,0.744276
156,0.484735
159,0.885754
165,0.741426
172,0.40998
182,0.801038
192,0.408856
193,0.72829
196,0.343184
202,0.337175
210,0.337591
211,0.398556
228,0.752326
257,0.410877
260,0.40109
264,0.377339
267,0.650102
279,0.852623
282,0.424538
293,0.308904
299,0.865312
300,0.682927
301,0.802782
317,0.363953
327,0.382476
328,0.270684
335,0.355145
346,0.759824
348,0.283983
365,0.359778
390,0.745147
391,0.750454
392,0.778935
397,0.357881
418,0.383878
428,0.181209
434,0.614058
439,0.419133
440,0.423614
456,0.406488
459,0.273365
472,0.419315
480,0.2457
491,0.355904
497,0.400949
509,0.399823
511,0.427668
523,0.187327
533,0.445647
544,0.424595
546,0.399379
555,0.719507
558,0.346794
560,0.344088
573,0.314785
591,0.397983
596,0.338344
597,0.394465
601,0.634883
605,0.437065
617,0.331888
628,0.280702
634,0.387588
646,0.321903
649,0.387024
651,0.741839
654,0.769117
656,0.40919
657,0.405057
669,0.370974
670,0.866555
693,0.702125
694,0.296385
699,0.405742
711,0.3843
718,0.370074
722,0.358406
723,0.386679
725,0.67252
734,0.34908
735,0.437628
737,0.730025
746,0.317621
747,0.696398
766,0.374272
767,0.321136
771,0.243471
773,0.233386
774,0.405168
783,0.290419
784,0.406653
789,0.301135
792,0.431043
804,0.335256
809,0.367275
812,0.30731
813,0.428422
817,0.31995
820,0.339255
825,0.363868
826,0.372092
829,0.379587
855,0.448453
859,0.732114
862,0.39965
870,0.415451
876,0.327614
880,0.356183
886,0.894999
889,0.869887
891,0.378042
897,0.889362
902,0.325356
903,0.325205
908,0.348534
909,0.383081
920,0.346817
922,0.412349
924,0.660613
932,0.368103
934,0.36973
937,0.393322
941,0.281256
943,0.358109
950,0.404141
952,0.3301
954,0.85205
963,0.350423
975,0.378338
979,0.399744
981,0.427995
983,0.173672
985,0.514023
989,0.498925
995,0.424515
998,0.407335
1008,0.269158
1019,0.694226
1023,0.455905
1026,0.346462
1029,0.65204
1034,0.856871
1036,0.690267
1038,0.297886
1039,0.67091
1051,0.552029
1052,0.252504
1066,0.300025
1087,0.27009
1092,0.243672
1094,0.74196
1098,0.40924
1099,0.402186
1102,0.375363
1118,0.439685
1131,0.287815
1133,0.760522
1135,0.847603
1138,0.458513
1139,0.793237
1142,0.416628
1151,0.318066
1152,0.388452
1155,0.685576
1165,0.337428
1167,0.71985
1172,0.37977
1174,0.715328
1180,0.464592
1200,0.411113
1202,0.399086
1227,0.597583
1228,0.689748
1229,0.316964
1237,0.394848
1241,0.396968
1256,0.291912
1279,0.439631
1293,0.261132
1295,0.308889
1319,0.774349
1320,0.397027
1321,0.802608
1322,0.709895
1334,0.269972
1351,0.809941
1373,0.408235
1375,0.309848
1380,0.458012
1382,0.709266
1385,0.610964
1399,0.353324
1403,0.797581
1428,0.265068
1434,0.322632
1444,0.787224
1448,0.386093
1466,0.868897
1476,0.387296
1478,0.419103
1485,0.39797
1491,0.694866
1494,0.679255
1500,0.370046
1501,0.669638
1503,0.409533
1519,0.717471
1524,0.36552
1529,0.76682
1533,0.729695
1538,0.867373
1539,0.371872
1546,0.427693
1555,0.342836
1559,0.368287
1563,0.676748
1565,0.774428
1574,0.362598
1591,0.332052
1594,0.22768
1605,0.243325
1611,0.398832
1614,0.32263
1620,0.387334
1626,0.307193
1630,0.390359
1632,0.387491
1634,0.335171
1643,0.31746
1651,0.416315
1655,0.351725
1658,0.272568
1659,0.3811
1665,0.374737
1675,0.339176
1680,0.720556
1690,0.37738
1696,0.273287
1714,0.254014
1721,0.385943
1726,0.397686
1728,0.369809
1734,0.370754
1735,0.323966
1740,0.331211
1744,0.847833
1747,0.333411
1752,0.302493
1763,0.720845
1765,0.745797
1769,0.384608
1785,0.716058
1787,0.321026
1788,0.389791
1793,0.322455
1800,0.389761
1825,0.429213
1826,0.75997
1834,0.330657
1843,0.388491
1844,0.355033
1848,0.319492
1849,0.366529
1860,0.368571
1863,0.388885
1875,0.675428
1883,0.377032
1890,0.412306
1892,0.36759
1893,0.393378
1897,0.311723
1905,0.444364
1908,0.598022
1931,0.286509
1940,0.789357
1943,0.360987
1947,0.210984
1965,0.758992
1967,0.449818
1968,0.430299
1972,0.774335
1982,0.305865
1985,0.31575
2005,0.826116
2010,0.832832
2021,0.363836
2024,0.777866
2036,0.372278
2043,0.575117
2047,0.559453
2049,0.414307
2055,0.307044
2065,0.415118
2066,0.270545
2070,0.267237
2077,0.858014
2085,0.66209
2095,0.658415
2097,0.76027
2108,0.43732
2112,0.682689
2113,0.691068
2122,0.169744
2139,0.418378
2144,0.578353
2146,0.310291
2148,0.155832
2149,0.801176
2157,0.361018
2159,0.363193
2168,0.404001
2176,0.36669
2178,0.710035
2181,0.262127
2187,0.753412
2188,0.264949
2190,0.277402
2194,0.377032
2197,0.245954
2214,0.33583
2217,0.196643
2222,0.426442
2223,0.306076
2226,0.327108
2230,0.717964
2240,0.555729
2247,0.354682
2250,0.316052
2259,0.560742
2262,0.399115
2266,0.37883
2305,0.341075
2310,0.326031
2313,0.387058
2319,0.807523
2320,0.733714
2345,0.292681
2350,0.736052
2356,0.371814
2360,0.619716
2370,0.449503
2386,0.345349
2398,0.301316
2414,0.726489
2435,0.764608
2439,0.559022
2446,0.771055
2458,0.28042
2465,0.304102
2466,0.392789
2470,0.335266
2495,0.727962
2501,0.297351
2507,0.259079
2533,0.163069
2537,0.367142
2538,0.259854
2541,0.246582
2542,0.754299
2544,0.774374
2554,0.186876
2555,0.188975
2565,0.584894
2575,0.748874
2586,0.444695
2588,0.41817
2594,0.72939
2617,0.461142
2618,0.291593
2623,0.878161
2631,0.443296
2640,0.28568
2642,0.742716
2647,0.435337
2663,0.449378
2664,0.344325
2676,0.405618
2680,0.83154
2681,0.397666
2691,0.365112
2693,0.434335
2695,0.454152
2704,0.284838
2708,0.386449
2709,0.827827
2717,0.766014
2722,0.427767
2728,0.343226
2732,0.752513
2743,0.343208
2752,0.270948
2757,0.72263
2761,0.352276
2769,0.24624
2771,0.314154
2774,0.361062
2776,0.362082
2781,0.282142
2793,0.349266
2799,0.395547
2803,0.315175
2811,0.357572
2818,0.320702
2824,0.511354
2828,0.799822
2829,0.38928
2830,0.391799
2842,0.730464
2847,0.798083
2848,0.325158
2868,0.317553
2870,0.272198
2885,0.196643
2886,0.365164
2889,0.566971
2903,0.400067
2904,0.722426
2918,0.830395
2919,0.304346
2922,0.408049
2923,0.328741
2931,0.285821
2945,0.372128
2955,0.382845
2957,0.688614
2960,0.748134
2963,0.293977
2966,0.771042
2972,0.687262
2974,0.341356
2982,0.292028
2984,0.639167
3016,0.425327
3021,0.343124
3023,0.766963
3025,0.402024
3029,0.269346
3034,0.728748
3038,0.312102
3040,0.426666
3051,0.775479
3062,0.313733
3069,0.363447
3071,0.309903
3076,0.818371
