shot_id,shot_made_flag
1,0.401518
8,0.330047
17,0.658733
20,0.69639
33,0.376812
34,0.448113
35,0.494348
36,0.478796
37,0.619063
38,0.394555
45,0.441357
50,0.337339
55,0.329658
60,0.278823
66,0.27709
67,0.323675
71,0.423341
80,0.301458
85,0.322148
86,0.608767
95,0.611605
104,0.412794
113,0.348725
123,0.326867
126,0.829439
133,0.656764
141,0.247417
144,0.467196
150,0.660698
152,0.394119
153,0.65049
156,0.355056
159,0.890799
165,0.733385
172,0.438172
182,0.843093
192,0.412039
193,0.646454
196,0.353293
202,0.337615
210,0.348307
211,0.403962
228,0.752784
257,0.400953
260,0.422611
264,0.399583
267,0.754032
279,0.859667
282,0.435282
293,0.363735
299,0.827181
300,0.769784
301,0.815177
317,0.367054
327,0.391717
328,0.341744
335,0.382268
346,0.780751
348,0.269373
365,0.371094
390,0.743699
391,0.743699
392,0.77846
397,0.39509
418,0.365926
428,0.269473
434,0.645472
439,0.459494
440,0.446088
456,0.438576
459,0.288853
472,0.412519
480,0.284391
491,0.368239
497,0.416481
509,0.401325
511,0.414383
523,0.26547
533,0.432988
544,0.436382
546,0.401156
555,0.711221
558,0.388754
560,0.339029
573,0.341918
591,0.412184
596,0.336351
597,0.387011
601,0.597768
605,0.446013
617,0.345204
628,0.298885
634,0.413596
646,0.331025
649,0.388046
651,0.716815
654,0.808464
656,0.44428
657,0.440767
669,0.351034
670,0.878538
693,0.747605
694,0.296302
699,0.416963
711,0.400713
718,0.386446
722,0.357207
723,0.363207
725,0.639256
734,0.344528
735,0.386529
737,0.762275
746,0.336693
747,0.745576
766,0.3464
767,0.32833
771,0.292577
773,0.252503
774,0.404843
783,0.26654
784,0.396082
789,0.320506
792,0.399581
804,0.327362
809,0.32248
812,0.301698
813,0.37384
817,0.310972
820,0.369845
825,0.388114
826,0.36255
829,0.398637
855,0.418916
859,0.740151
862,0.368909
870,0.399469
876,0.348603
880,0.363579
886,0.911013
889,0.847019
891,0.345602
897,0.909792
902,0.390933
903,0.327415
908,0.360132
909,0.398045
920,0.37834
922,0.406085
924,0.668336
932,0.354764
934,0.351931
937,0.330753
941,0.32959
943,0.344055
950,0.424933
952,0.356033
954,0.852717
963,0.378677
975,0.375073
979,0.427531
981,0.407974
983,0.248871
985,0.467476
989,0.439076
995,0.425823
998,0.411372
1008,0.29725
1019,0.708555
1023,0.414939
1026,0.342961
1029,0.692862
1034,0.846259
1036,0.726283
1038,0.324741
1039,0.695584
1051,0.437463
1052,0.264799
1066,0.335389
1087,0.248141
1092,0.447202
1094,0.730614
1098,0.399059
1099,0.422327
1102,0.35283
1118,0.417526
1131,0.300347
1133,0.737813
1135,0.867506
1138,0.434742
1139,0.820532
1142,0.4428
1151,0.378204
1152,0.390027
