shot_id,shot_made_flag
1,0.466695
8,0.656712
17,0.777904
20,0.887134
33,0.378413
34,0.474314
35,0.461412
36,0.440491
37,0.878198
38,0.38707
45,0.39355
50,0.351643
55,0.358256
60,0.309603
66,0.33837
67,0.287164
71,0.402051
80,0.321763
85,0.377534
86,0.625532
95,0.669957
104,0.393283
113,0.392292
123,0.316243
126,0.790881
133,0.828233
141,0.241679
144,0.429004
150,0.832476
152,0.40305
153,0.836143
156,0.469726
159,0.828021
165,0.815364
172,0.422432
182,0.80458
192,0.397103
193,0.784551
196,0.354445
202,0.329472
210,0.365504
211,0.405618
228,0.907636
257,0.440511
260,0.433746
264,0.406851
267,0.558536
279,0.823092
282,0.393075
293,0.397188
299,0.729009
300,0.628468
301,0.773163
317,0.363991
327,0.396115
328,0.328815
335,0.420163
346,0.755696
348,0.290914
365,0.418747
390,0.84599
391,0.846418
392,0.731226
397,0.346952
418,0.376024
428,0.25844
434,0.618201
439,0.406265
440,0.402314
456,0.441074
459,0.304812
472,0.402692
480,0.313124
491,0.344121
497,0.388286
509,0.381564
511,0.400811
523,0.267417
533,0.422447
544,0.410141
546,0.402906
555,0.827668
558,0.385735
560,0.365094
573,0.330065
591,0.392904
596,0.327726
597,0.363767
601,0.640822
605,0.439107
617,0.3467
628,0.339297
634,0.3425
646,0.269127
649,0.384035
651,0.815094
654,0.779008
656,0.413246
657,0.428773
669,0.396906
670,0.822538
693,0.671428
694,0.336077
699,0.437664
711,0.37562
718,0.350962
722,0.362536
723,0.363434
725,0.699216
734,0.353849
735,0.459043
737,0.714586
746,0.336059
747,0.65557
766,0.518595
767,0.338014
771,0.299858
773,0.270758
774,0.424126
783,0.314337
784,0.401246
789,0.334236
792,0.438832
804,0.336677
809,0.325465
812,0.342643
813,0.440691
817,0.309497
820,0.313739
825,0.394798
826,0.363717
829,0.4119
855,0.479868
859,0.838975
862,0.439423
870,0.401985
876,0.344175
880,0.405736
886,0.813449
889,0.799178
891,0.423072
897,0.812553
902,0.379484
903,0.335022
908,0.396243
909,0.405056
920,0.372321
922,0.433724
924,0.621124
932,0.36948
934,0.363946
937,0.418122
941,0.341813
943,0.353134
950,0.411331
952,0.327514
954,0.812978
963,0.368661
975,0.3443
979,0.395012
981,0.378636
983,0.294666
985,0.460444
989,0.458165
995,0.433724
998,0.406049
1008,0.305441
1019,0.720724
1023,0.398831
1026,0.372292
1029,0.637569
1034,0.799391
1036,0.647221
1038,0.365709
1039,0.646613
1051,0.494547
1052,0.313169
1066,0.367164
1087,0.262079
1092,0.288898
1094,0.845841
1098,0.409939
1099,0.404378
1102,0.372769
1118,0.399775
1131,0.301746
1133,0.850634
1135,0.822829
1138,0.403217
1139,0.821155
1142,0.400999
1151,0.322241
1152,0.396982
1155,0.780413
1165,0.363646
1167,0.810458
1172,0.394093
1174,0.818778
1180,0.413512
1200,0.405311
1202,0.369697
1227,0.641731
1228,0.867584
1229,0.38707
1237,0.434197
1241,0.377184
1256,0.271391
1279,0.380978
1293,0.299306
1295,0.376094
1319,0.82036
1320,0.376831
1321,0.774435
1322,0.64871
1334,0.264032
1351,0.738866
1373,0.410415
1375,0.321685
1380,0.398709
1382,0.665118
1385,0.434561
1399,0.318355
1403,0.746846
1428,0.226571
1434,0.291253
1444,0.810046
1448,0.366828
1466,0.796955
1476,0.415777
1478,0.390401
1485,0.359293
1491,0.813047
1494,0.646335
1500,0.411985
1501,0.636096
1503,0.397088
1519,0.830652
1524,0.38777
1529,0.713846
1533,0.713716
1538,0.806985
1539,0.351375
1546,0.415063
1555,0.308717
1559,0.35863
1563,0.670395
1565,0.824042
1574,0.371076
1591,0.308279
1594,0.239675
1605,0.26295
1611,0.374834
1614,0.336816
1620,0.384408
1626,0.284392
1630,0.381393
1632,0.374621
1634,0.301197
1643,0.329325
1651,0.398104
1655,0.364957
1658,0.300323
1659,0.379058
1665,0.399215
1675,0.367441
1680,0.792586
1690,0.368461
1696,0.295133
1714,0.399646
1721,0.493605
1726,0.513786
1728,0.357985
1734,0.333835
1735,0.294185
1740,0.398142
1744,0.767251
1747,0.276508
1752,0.326142
1763,0.789766
1765,0.784862
1769,0.402801
1785,0.668819
1787,0.384482
1788,0.388496
1793,0.303809
1800,0.325997
1825,0.378468
1826,0.787816
1834,0.319101
1843,0.307015
1844,0.325041
1848,0.289811
1849,0.372432
1860,0.410534
1863,0.349724
1875,0.580849
1883,0.410242
1890,0.42661
1892,0.412128
1893,0.386257
1897,0.347306
1905,0.35418
1908,0.612636
1931,0.263248
1940,0.786665
1943,0.355878
